标题,品牌,名称,SKU,价格,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 黑色 R5-2500U/GTX1050 2G 套餐五：12G内存/256G固态+1T,华硕（ASUS）,华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 黑色 R5-2500U/GTX1050 2G 套餐五：12G内存/256G固态+1T,31853565214,4899.00,6448,5,5132,3940,0.98,587,137,59,38
华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 黑色 R5-2500U/GTX1050 2G 套餐一：4G内存/256G固态,华硕（ASUS）,华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 黑色 R5-2500U/GTX1050 2G 套餐一：4G内存/256G固态,31853565209,3399.00,6448,5,5132,3940,0.98,587,137,59,38
华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 黑色 R5-2500U/GTX1050 2G 套餐二：8G内存/256G固态,华硕（ASUS）,华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 黑色 R5-2500U/GTX1050 2G 套餐二：8G内存/256G固态,31853565211,2899.00,6448,5,5132,3940,0.98,587,137,59,38
华硕（ASUS）顽石X505超薄本15.6英寸家用商务学生办公独显超极本游戏轻薄便携笔记本手提电脑 金色窄边框 8G内存256G固态2G独显,华硕（ASUS）,华硕（ASUS）X505BP,52324199886,2899.00,6548,5,3481,4207,0.96,130,41,87,34
华硕（ASUS）顽石X505超薄本15.6英寸家用商务学生办公独显超极本游戏轻薄便携笔记本手提电脑 灰色窄边框 4G内存128G固态2G独显,华硕（ASUS）,华硕（ASUS）X505BP,52324199873,4499.00,6548,5,3481,4207,0.96,130,41,87,34
华硕（ASUS）顽石X505超薄本15.6英寸家用商务学生办公独显超极本游戏轻薄便携笔记本手提电脑 金色窄边框 4G内存128G固态2G独显,华硕（ASUS）,华硕（ASUS）X505BP,52324199883,4399.00,6548,5,3481,4207,0.96,130,41,87,34
机械师T58-V 全面屏游戏本9代i7-9750H/GTX1050 3G独显吃鸡轻薄笔记本电脑手提 旗舰版16G/512G PCIE固态+1T,机械师（MACHENIKE）,机械师T58-V 全面屏游戏本9代i7-9750H/GTX1050 3G独显吃鸡轻薄笔记本电脑手提 旗舰版16G/512G PCIE固态+1T,49453991985,5598.00,6414,5,3211,3166,0.98,129,63,32,5
戴尔（DELL）灵越5493燃5000 14英寸酷睿十代轻薄便携独显窄边框商务办公手提笔记本电脑 i5-1035G1 8GB 256G固态硬盘 定制,戴尔（DELL）,戴尔（DELL）灵越5493,36992960224,1848.00,6534,5,4618,3161,0.97,202,59,63,35
联想IdeaPad340c 15.6英寸窄边框酷睿八代i5/i3轻薄商务手提办公笔记本电脑 定制丨酷睿八代i5/4G/128G+1TB/独显 银色,联想（Lenovo）,联想IdeaPad340c 15.6英寸窄边框酷睿八代i5/i3轻薄商务手提办公笔记本电脑 定制丨酷睿八代i5/4G/128G+1TB/独显 银色,43238620907,2498.00,6614,5,3557,3052,0.99,62,22,4,1
戴尔（DELL）灵越5370 5390 13.3英寸四核超极本商务办公轻薄笔记本电脑 金属便携手提本 13MR-1525A i5-8265U 2G独显 官方标配,戴尔（DELL）,戴尔（DELL）灵越5370 5390 13.3英寸四核超极本商务办公轻薄笔记本电脑 金属便携手提本 13MR-1525A i5-8265U 2G独显 官方标配,27116411198,5499.00,6905,5,4364,4111,0.98,92,38,37,27
