,comment_id,product_id,guid,content,create_time,reference_id,reference_time,score,nickname
0,10405299840,298104,0c2d5a3f-5a3d-4e47-9e94-59fa77743e96,非常不错的空气净化器，功能强大，净化效果好，噪音又小，推荐,2017-05-14 21:22:23,298104,2017-02-18 19:56:20,5,花***的
1,1257189819,298104,82f0e83a-35dc-415e-bb10-4d2388331725,再优惠期购买的，主要是家里有孩子，冬天北京空气质量太差。使用后感觉不错，对环境敏感，带睡眠功能，夜间不晃眼。滤芯清洁很方便，个人感觉还值得推荐。,2016-01-08 16:02:49,298104,2015-12-19 10:11:08,5,浩宝2009
2,10089895776,298104,9b8aced5-b6b8-4bd6-9be3-56b6afc6afe1,用了好长时间了，才来评价，很不错，感应很灵敏。买之前看了看多，各种的价高价低的，大品牌小品牌的都有，最后也是同事停推荐这款，一用还真不错，大品牌小价格，关键效果很棒,2017-01-23 20:44:45,298104,2017-01-07 19:32:57,5,j***s
3,1773183753,298104,08e91d7c-a79c-487e-81a0-73517938d27a,很漂亮 小巧 声音很小 希望有效果 关键不知道如何去测试到底好不好,2016-08-20 17:29:29,298104,2016-08-19 22:57:28,5,银***理
4,10036874033,298104,b342fadd-5d07-47c9-92a5-e70d68921e67,体积大小合适，自动档就很静音，放在卧室用也不影响睡眠，图案无所谓，没图案也可以。,2017-01-05 21:35:59,298104,2017-01-04 21:59:21,5,c95916
5,12009846391,298104,7d7c6025-a7e2-4f85-ae88-e3f83a483c88,非常安静，安装也方便，放在床边，不占地方，给家里老人买的，挺好用，好评,2018-10-15 21:32:07,298104,2018-10-15 08:44:17,5,h***e
6,10174797108,298104,e872b994-b851-46d7-90f1-84f94f3b4760,方便  ，睡眠模式静音。  结构简单，空起质量识别很一般净化效果  价格,2017-03-02 11:13:15,298104,2017-02-13 09:51:19,5,羊***行
7,10847014536,298104,c9a2e310-af54-41a8-ae17-382753399143,包装非常好，北京这俩天在下雨，快递小哥很难得的完好送达。货品全部齐全，安装简单，已经开始使用了。不错的一次选择。?,2017-10-09 22:03:50,298104,2017-10-08 17:21:25,5,2***6
8,1249008012,298104,55d804f6-f23b-4717-b7ba-f8d2108ca0db,非常好的机器，如果说灵敏度低的朋友可以参考说明书来调节一下，只适合小点的房间，大房间感觉效果不是很好。,2016-01-05 00:02:52,298104,2016-01-03 13:04:56,5,雯***1
9,10475084548,298104,18d27d85-42e7-4a7c-9673-dd437212c554,外观很漂亮，安装也超简单，开启后的声音能接受。,2017-06-05 08:44:17,298104,2017-06-01 00:11:10,5,j***2
